Insolvencies Filed by,Province,Proposals or Bankrupt,Date,# insolvencies
Consumers,Nova Scotia,Bankruptcies,01-06-2014,301
Consumers,Nova Scotia,Bankruptcies,01-07-2014,350
Consumers,Nova Scotia,Bankruptcies,01-08-2014,279
Consumers,Nova Scotia,Bankruptcies,01-09-2014,357
Consumers,Nova Scotia,Bankruptcies,01-10-2014,368
Consumers,Nova Scotia,Bankruptcies,01-11-2014,280
Consumers,Nova Scotia,Bankruptcies,01-12-2014,294
Consumers,Nova Scotia,Proposals,01-01-2014,103
Consumers,Nova Scotia,Proposals,01-02-2014,143
Consumers,Nova Scotia,Proposals,01-03-2014,116
Consumers,Nova Scotia,Proposals,01-04-2014,139
Consumers,Nova Scotia,Proposals,01-05-2014,128
Consumers,Nova Scotia,Proposals,01-06-2014,140
Consumers,Nova Scotia,Proposals,01-07-2014,140
Consumers,Nova Scotia,Proposals,01-08-2014,110
Consumers,Nova Scotia,Proposals,01-09-2014,140
Consumers,Nova Scotia,Proposals,01-10-2014,139
Consumers,Nova Scotia,Proposals,01-11-2014,88
Consumers,Nova Scotia,Proposals,01-12-2014,115
Consumers,Nunavut,Bankruptcies,01-01-2014,2
Consumers,Nunavut,Bankruptcies,01-02-2014,0
Consumers,Nunavut,Bankruptcies,01-03-2014,0
Consumers,Nunavut,Bankruptcies,01-04-2014,0
Consumers,Nunavut,Bankruptcies,01-05-2014,0
Consumers,Nunavut,Bankruptcies,01-06-2014,0
Consumers,Nunavut,Bankruptcies,01-07-2014,0
Consumers,Nunavut,Bankruptcies,01-08-2014,0
Consumers,Nunavut,Bankruptcies,01-09-2014,0
Consumers,Nunavut,Bankruptcies,01-10-2014,1
Consumers,Nunavut,Bankruptcies,01-11-2014,0
Consumers,Nunavut,Bankruptcies,01-12-2014,1
Consumers,Nunavut,Proposals,01-01-2014,0
Consumers,Nunavut,Proposals,01-02-2014,1
Consumers,Nunavut,Proposals,01-03-2014,0
Consumers,Nunavut,Proposals,01-04-2014,0
Consumers,Nunavut,Proposals,01-05-2014,0
Consumers,Nunavut,Proposals,01-06-2014,0
Consumers,Nunavut,Proposals,01-07-2014,0
Consumers,Nunavut,Proposals,01-08-2014,1
Consumers,Nunavut,Proposals,01-09-2014,0
Consumers,Nunavut,Proposals,01-10-2014,0
Consumers,Nunavut,Proposals,01-11-2014,0
Consumers,Nunavut,Proposals,01-12-2014,0
Consumers,Ontario,Bankruptcies,01-01-2014,1342
Consumers,Ontario,Bankruptcies,01-02-2014,1511
Consumers,Ontario,Bankruptcies,01-03-2014,1797
Consumers,Ontario,Bankruptcies,01-04-2014,1777
Consumers,Ontario,Bankruptcies,01-05-2014,1808
Consumers,Ontario,Bankruptcies,01-06-2014,1532
Consumers,Ontario,Bankruptcies,01-07-2014,1644
Consumers,Ontario,Bankruptcies,01-08-2014,1413
Consumers,Ontario,Bankruptcies,01-09-2014,1636
Consumers,Ontario,Bankruptcies,01-10-2014,1671
Consumers,Ontario,Bankruptcies,01-11-2014,1458
Consumers,Ontario,Bankruptcies,01-12-2014,1645
Consumers,Ontario,Proposals,01-01-2014,1671
Consumers,Ontario,Proposals,01-02-2014,1831
Consumers,Ontario,Proposals,01-03-2014,2067
Consumers,Ontario,Proposals,01-04-2014,1998
Consumers,Ontario,Proposals,01-05-2014,1905
Consumers,Ontario,Proposals,01-06-2014,1837
Consumers,Ontario,Proposals,01-07-2014,1908
Consumers,Ontario,Proposals,01-08-2014,1628
Consumers,Ontario,Proposals,01-09-2014,1822
Consumers,Ontario,Proposals,01-10-2014,1985
Consumers,Ontario,Proposals,01-11-2014,1698
Consumers,Ontario,Proposals,01-12-2014,1524
Consumers,Prince Edward Island,Bankruptcies,01-01-2014,48
Consumers,Prince Edward Island,Bankruptcies,01-02-2014,29
Consumers,Prince Edward Island,Bankruptcies,01-03-2014,39
Consumers,Prince Edward Island,Bankruptcies,01-04-2014,43
Consumers,Prince Edward Island,Bankruptcies,01-05-2014,47
Consumers,Prince Edward Island,Bankruptcies,01-06-2014,40
Consumers,Prince Edward Island,Bankruptcies,01-07-2014,51
Consumers,Prince Edward Island,Bankruptcies,01-08-2014,61
Consumers,Prince Edward Island,Bankruptcies,01-09-2014,42
Consumers,Prince Edward Island,Bankruptcies,01-10-2014,44
Consumers,Prince Edward Island,Bankruptcies,01-11-2014,33
Consumers,Prince Edward Island,Bankruptcies,01-12-2014,25
Consumers,Prince Edward Island,Proposals,01-01-2014,16
Consumers,Prince Edward Island,Proposals,01-02-2014,19
Consumers,Prince Edward Island,Proposals,01-03-2014,21
Consumers,Prince Edward Island,Proposals,01-04-2014,12
Consumers,Prince Edward Island,Proposals,01-05-2014,19
Consumers,Prince Edward Island,Proposals,01-06-2014,13
Consumers,Prince Edward Island,Proposals,01-07-2014,18
Consumers,Prince Edward Island,Proposals,01-08-2014,21
Consumers,Prince Edward Island,Proposals,01-09-2014,19
Consumers,Prince Edward Island,Proposals,01-10-2014,13
Consumers,Prince Edward Island,Proposals,01-11-2014,20
Consumers,Prince Edward Island,Proposals,01-12-2014,28
Consumers,Quebec,Bankruptcies,01-01-2014,1970
Consumers,Quebec,Bankruptcies,01-02-2014,2039
Consumers,Quebec,Bankruptcies,01-03-2014,1974
Consumers,Quebec,Bankruptcies,01-04-2014,2251
Consumers,Quebec,Bankruptcies,01-05-2014,2256
Consumers,Quebec,Bankruptcies,01-06-2014,1918
Consumers,Quebec,Bankruptcies,01-07-2014,1967
Consumers,Quebec,Bankruptcies,01-08-2014,1908
Consumers,Quebec,Bankruptcies,01-09-2014,2057
Consumers,Quebec,Bankruptcies,01-10-2014,2326
Consumers,Quebec,Bankruptcies,01-11-2014,2039
Consumers,Quebec,Bankruptcies,01-12-2014,1742
Consumers,Quebec,Proposals,01-01-2014,1316
Consumers,Quebec,Proposals,01-02-2014,1426
Consumers,Quebec,Proposals,01-03-2014,1546
Consumers,Quebec,Proposals,01-04-2014,1465
Consumers,Quebec,Proposals,01-05-2014,1467
Consumers,Quebec,Proposals,01-06-2014,1237
Consumers,Quebec,Proposals,01-07-2014,1360
Consumers,Quebec,Proposals,01-08-2014,1393
Consumers,Quebec,Proposals,01-09-2014,1449
Consumers,Quebec,Proposals,01-10-2014,1658
Consumers,Quebec,Proposals,01-11-2014,1477
Consumers,Quebec,Proposals,01-12-2014,1313
Consumers,Saskatchewan,Bankruptcies,01-01-2014,87
Consumers,Saskatchewan,Bankruptcies,01-02-2014,87
Consumers,Saskatchewan,Bankruptcies,01-03-2014,112
Consumers,Saskatchewan,Bankruptcies,01-04-2014,103
Consumers,Saskatchewan,Bankruptcies,01-05-2014,105
Consumers,Saskatchewan,Bankruptcies,01-06-2014,81
Consumers,Saskatchewan,Bankruptcies,01-07-2014,95
Consumers,Saskatchewan,Bankruptcies,01-08-2014,81
Consumers,Saskatchewan,Bankruptcies,01-09-2014,100
Consumers,Saskatchewan,Bankruptcies,01-10-2014,103
Consumers,Saskatchewan,Bankruptcies,01-11-2014,60
Consumers,Saskatchewan,Bankruptcies,01-12-2014,91
Consumers,Saskatchewan,Proposals,01-01-2014,61
Consumers,Saskatchewan,Proposals,01-02-2014,58
Consumers,Saskatchewan,Proposals,01-03-2014,70
Consumers,Saskatchewan,Proposals,01-04-2014,83
Consumers,Saskatchewan,Proposals,01-05-2014,64
Consumers,Saskatchewan,Proposals,01-06-2014,62
Consumers,Saskatchewan,Proposals,01-07-2014,80
Consumers,Saskatchewan,Proposals,01-08-2014,74
Consumers,Saskatchewan,Proposals,01-09-2014,73
Consumers,Saskatchewan,Proposals,01-10-2014,74
Consumers,Saskatchewan,Proposals,01-11-2014,66
Consumers,Saskatchewan,Proposals,01-12-2014,68
Consumers,Yukon,Bankruptcies,01-01-2014,5
Consumers,Yukon,Bankruptcies,01-02-2014,1
Consumers,Yukon,Bankruptcies,01-03-2014,1
Consumers,Yukon,Bankruptcies,01-04-2014,3
Consumers,Yukon,Bankruptcies,01-05-2014,2
Consumers,Yukon,Bankruptcies,01-06-2014,1
Consumers,Yukon,Bankruptcies,01-07-2014,3
Consumers,Yukon,Bankruptcies,01-08-2014,3
Consumers,Yukon,Bankruptcies,01-09-2014,1
Consumers,Yukon,Bankruptcies,01-10-2014,1
Consumers,Yukon,Bankruptcies,01-11-2014,0
Consumers,Yukon,Bankruptcies,01-12-2014,1
Consumers,Yukon,Proposals,01-01-2014,0
Consumers,Yukon,Proposals,01-02-2014,2
Consumers,Yukon,Proposals,01-03-2014,0
Consumers,Yukon,Proposals,01-04-2014,3
Consumers,Yukon,Proposals,01-05-2014,2
Consumers,Yukon,Proposals,01-06-2014,0
Consumers,Yukon,Proposals,01-07-2014,3
Consumers,Yukon,Proposals,01-08-2014,0
Consumers,Yukon,Proposals,01-09-2014,1
Consumers,Yukon,Proposals,01-10-2014,2
Consumers,Yukon,Proposals,01-11-2014,2
Consumers,Yukon,Proposals,01-12-2014,2
